term	sem	KeyBERT
0014unit		0.0006666666666666666
00diisopropyl_phosphorofluoridate_lex	Chemical	0.0006666666666666666
059mg		0.0006666666666666666
05mgkg		0.0006666666666666666
100mgkg		0.0006666666666666666
100micrograms		0.0006666666666666666
1010pseudomonas		0.0006666666666666666
109l		0.0006666666666666666
10keto		0.0006666666666666666
10mg		0.0006666666666666666
10mgkg		0.0006666666666666666
112dihydro2acenaphthylenylpiperazine_lex	Chemical	0.0006666666666666666
11deoxycortisol_lex	Chemical	0.0006666666666666666
11dichloro222trifluoroethane_lex	Chemical	0.0006666666666666666
11ketopregnenolone_sulphate_lex	Chemical	0.0006666666666666666
1234dichlorophenylethyl4methylpiperazine_lex	Chemical	0.0006666666666666666
124dichlorophenoxy3234dimethoxyphenylethanolaminoprop		0.0006666666666666666
125dihydroxyvitamin_d_lex	Chemical	0.0006666666666666666
125oh2d_lex	Chemical	0.0006666666666666666
12alphahydroxylase		0.0006666666666666666
12chloroethyl3cyclohexyl1nitrosourea_lex	Chemical	0.0006666666666666666
12dimethylhydrazine_lex	Chemical	0.0006666666666666666
12h		0.0006666666666666666
12methoxyphenyl442phthalimidobutylpiperazine_lex	Chemical	0.0006666666666666666
12phenethyl42pyridylpiperazine_lex	Chemical	0.0006666666666666666
12yearold		0.0006666666666666666
131i		0.0006666666666666666
131ialbumin		0.0006666666666666666
131ihippuran		0.0006666666666666666
13bis2chloroethyl1nitrosourea_lex	Chemical	0.0006666666666666666
13bis_2chloroethyl1nitrosoure_lex	Chemical	0.0006666666666666666
13butadiene_lex	Chemical	0.0006666666666666666
13cisretinoic_acid_lex	Chemical	0.0006666666666666666
14c41_ninety-nine_lex	Chemical	0.0006666666666666666
14dihydropyridine_lex	Chemical	0.0006666666666666666
15benzothiazepine_lex	Chemical	0.0006666666666666666
15db		0.0006666666666666666
15f2tisoprostane_lex	Chemical	0.0006666666666666666
15mg100g		0.0006666666666666666
15mgkg		0.0006666666666666666
15minute		0.0006666666666666666
15t		0.0006666666666666666
15yearold		0.0006666666666666666
16mgkg		0.0006666666666666666
17alphaethinylestradiol_lex	Chemical	0.0006666666666666666
17betaestradiol_lex	Chemical	0.0006666666666666666
17dayold		0.0006666666666666666
1adrenoceptor		0.002
1anisoyl2pyrrolidinone_lex	Chemical	0.0006666666666666666
1bromo1chloro222trifluoroethane_lex	Chemical	0.0006666666666666666
1chloro1222tetrafluoroethane_lex	Chemical	0.0006666666666666666
1hour		0.0006666666666666666
1methyl4phenyl1236tetrahydropyridine_lex	Chemical	0.0013333333333333333
1mgkg		0.0006666666666666666
1mgkgweek		0.0006666666666666666
1month		0.0006666666666666666
1placebo		0.0006666666666666666
1r2scisn234dichlorophenylethyl21pyrrolidinylcyclohexylamine		0.0006666666666666666
1r_3s_31admantyl1aminomethyl34dihydro56dihydroxy1h2benzo_pyran_hydrochloride_lex	Chemical	0.0006666666666666666
1receptor		0.0013333333333333333
1week		0.0006666666666666666
2003a		0.0006666666666666666
200mgkg		0.0006666666666666666
200micrograms		0.0006666666666666666
20fold		0.0006666666666666666
20mg		0.002
21mg		0.0006666666666666666
22oxacalcitriol_lex	Chemical	0.0006666666666666666
235triphenyltetrazolium_lex	Chemical	0.0006666666666666666
235triphenyltetrazolium_chloride_lex	Chemical	0.0006666666666666666
23dideoxy_cytosine_lex	Chemical	0.0006666666666666666
2414c		0.0006666666666666666
24368s		0.0006666666666666666
24hour		0.0006666666666666666
24week		0.0006666666666666666
24yearold		0.0006666666666666666
25gauge		0.0006666666666666666
25mgkg		0.0013333333333333333
25mgm2		0.0006666666666666666
27hydroxylase		0.0006666666666666666
2acetylaminofluorene_lex	Chemical	0.0006666666666666666
2adrenoceptor		0.0013333333333333333
2adrenoceptors		0.0006666666666666666
2adrenoreceptor		0.0006666666666666666
2agonist		0.0006666666666666666
2chloroprocainece_lex	Chemical	0.0006666666666666666
2day		0.0006666666666666666
2fold		0.0006666666666666666
2minute		0.0006666666666666666
2p2carboxyethylphenethylamino5nethylcarboxamidoadenosine_lex	Chemical	0.0006666666666666666
2r4r4aminopyrrolidine24dicarboxylate_lex	Chemical	0.0006666666666666666
2r4rapdc_lex	Chemical	0.0006666666666666666
2receptors		0.0006666666666666666
2yearold		0.0006666666666666666
300mgkg		0.0006666666666666666
