IDF,ICF,Chi-sq,CG,ICB,DoP,KeyBERT,KeyLLM,RICF
mini,autoantibody,b2,sgk1,artery_calcification_lex,nonalcoholic,toxicity_lex,toxicity_lex,tam_lex
hypoparathyroidism_lex,invariable,yohimbine_lex,tam_lex,tam_lex,dissecting_aneurysm_lex,seizures_lex,seizures_lex,sgk1
conjugation,postmarketing,t_lex,flecainide_lex,val_lex,nontraumatic,hypertension_lex,hypotension_lex,rizatriptan_lex
p20,spreading,renal,rizatriptan_lex,adenovirus_disease_lex,postinfarction,mg_lex,hypertension_lex,mpoanca
lumbosacral,nightmares,extract,mpoanca,ntg_lex,gerstmann_syndrome_lex,hypotension_lex,dopamine_lex,flecainide_lex
eluting,uninephrectomy,desogestrel_lex,ht,ht,erythroderma_lex,dopamine_lex,bradycardia_lex,artery_calcification_lex
tubulointerstitial_nephritis_lex,desorptionionization,oral_contraceptives_lex,dlsotalol_lex,rizatriptan_lex,leukemoid_reaction_lex,seizure_lex,nephrotoxicity_lex,apap_lex
nitricoxide_lex,compromise,sirolimus_lex,apap_lex,ocs_lex,magnesium_sulfate_lex,pain_lex,cocaine_lex,dlsotalol_lex
hypersecretory,hydroxyproline_lex,asa_lex,artery_calcification_lex,lozenge,thoracic_hematomyelia_lex,creatinine_lex,myocardial_infarction_lex,ht
plasticity,sn_lex,gap43,ax_lex,mpoanca,caproate_lex,bradycardia_lex,cardiotoxicity_lex,cs_lex
