term	sem	bi	ni	IDF	ICF	Chi-sq	CG	ICB	DoP	KeyBERT	KeyLLM	RICF
0001abstract		1	1	7.313220387090301	12.557595339394156	0.7029095298048936	1.0	278.0	-0.0009780260760057224	0.0	0.0	-0.00037109537055890485
0014unit		1	3	7.313220387090301	11.458983050726047	680.5129885391034	3.0	480.0	-0.0005628927056143818	0.0	0.0	1.0982411932975502
001abstract		3	3	6.214608098422191	11.458983050726047	0.6738944919003005	1.0	302.66666666666663	-0.0031944161043617747	0.0	0.0	-0.0011948825407888108
0070unit		1	1	7.313220387090301	12.557595339394156	0.7029095298048835	1.0	160.0	-0.0005628927056143818	0.0	0.0	-0.00037109537055890485
0075mgkg		1	1	7.313220387090301	12.557595339394156	0.7029095298048835	1.0	100.0	-0.00035180794100864166	0.0	0.0	-0.00037109537055890485
00diisopropyl_phosphorofluoridate_lex	chemical	1	1	7.313220387090301	12.557595339394156	0.7029095298048768	1.0	164.0	-0.000576965023255771	0.0006666666666666	0.0	-0.00037109537055890485
015003h		1	1	7.313220387090301	12.557595339394156	0.7029095298048835	1.0	365.0	-0.0012840989846836237	0.0	0.0	-0.00037109537055890485
01abstract		1	1	7.313220387090301	12.557595339394156	0.7029095298048835	1.0	276.0	-0.000970989917185805	0.0	0.0	-0.00037109537055890485
01mgkg		1	1	7.313220387090301	12.557595339394156	0.7029095298048802	1.0	169.0	-0.0005945554203059533	0.0	0.0	-0.00037109537055890485
024006h		1	1	7.313220387090301	12.557595339394156	0.7029095298048835	1.0	365.0	-0.0012840989846836237	0.0	0.0	-0.00037109537055890485
02510mgkg		1	1	7.313220387090301	12.557595339394156	0.7029095298048802	1.0	209.0	-0.000735278596709743	0.0	0.0	-0.00037109537055890485
0350unit		1	1	7.313220387090301	12.557595339394156	0.7029095298048835	1.0	160.0	-0.0005628927056143818	0.0	0.0	-0.00037109537055890485
03fold		1	1	7.313220387090301	12.557595339394156	0.7029095298048802	1.0	208.0	-0.0007317605172992847	0.0	0.0	-0.00037109537055890485
04fold		1	2	7.313220387090301	11.864448158834211	234.21759540318138	2.0	416.0	-0.0007317605172992847	0.0	0.0	0.6927760851893865
050abstract		1	1	7.313220387090301	12.557595339394156	0.7029095298048903	1.0	272.0	-0.0009569175995455259	0.0	0.0	-0.00037109537055890485
0512h		1	1	7.313220387090301	12.557595339394156	0.7029095298048869	1.0	130.0	-0.0004573503233118448	0.0	0.0	-0.00037109537055890485
0520mgkg		1	1	7.313220387090301	12.557595339394156	0.7029095298048802	1.0	209.0	-0.000735278596709743	0.0	0.0	-0.00037109537055890485
059mg		1	1	7.313220387090301	12.557595339394156	0.7029095298048869	1.0	240.0	-0.0008443390584225163	0.0	0.0	-0.00037109537055890485
