IDF,ICF,Chi-sq,CG,ICB,DoP,KeyBERT,KeyLLM,RICF
recessive,CLE0_element_lex,P_sequence_lex,Bcl-6_lex,Bcl-6_lex,guardian,transcription_factor_lex,transcription_factor_lex,Bcl-6_lex
helix,RAP30_lex,K_protein_lex,SMX_lex,TCRzeta_lex,distinct_function_lex,activation_lex,T_cell_lex,SMX_lex
P3A2_lex,12-O-tetradecanoylphorbol-13-acetate_(TPA)_response_element_lex,UAS2_lex,v-erbA_lex,ML-9_lex,interleukin-15_lex,cytokine_lex,NF-kappa_b_lex,v-erbA_lex
p0005,AIDS_IBLP_tumor_lex,Bik_lex,ML-9_lex,AITL_lex,thymus-derived_T-cell_homeostasis_lex,transcription_lex,NF-kappa_B_lex,SHP1_lex
obese_patient_lex,beta-like_globin_cluster_lex,sesquiterpene_lactone_lex,SHP1_lex,SHP1_lex,extrathymic_development_lex,T_cell_lex,cytokine_lex,ML-9_lex
human_activated_monocyte_lex,stromal-derived_cytokine_interleukin-7_lex,TS_lex,beta-casein_lex,beta-casein_lex,B-lymphocyte_differentiation_control_lex,gene_lex,NF-kappaB_lex,beta-casein_lex
putative_chicken_Shc_homologue_lex,inductive_stimulation_lex,MTBE_lex,EBNA-2_lex,A-myb_lex,B-lymphocyte_differentiation_lex,NF-kappa_b_lex,AP-1_lex,p95vav_lex
DNA_ploidy_lex,Myc_lex,Tax_lex,DM_lex,I_kappaB_lex,plasma_cell_pathway_lex,NF-kappa_B_lex,transcription_lex,I_kappaB_lex
mature_organ_lex,N-terminal_c-Jun_kinase_lex,variants,TCRzeta_lex,SMX_lex,B-cell_commitment_lex,Il-2_lex,gene_expression_lex,TCRzeta_lex
small_GTP-binding_protein_Rho_lex,PKR_expression_lex,glial_cell_lex,I_kappaB_lex,Rap1_protein_lex,memory_B_cells_lex,IL-2_lex,T_lymphocyte_lex,DM_lex
