IDF,ICF,Chi-sq,CG,ICB,DoP,RICF
V14Rho_lex,marginally,TCL1_lex,Bcl-6_lex,Bcl-6_lex,D_variant_cell_lex,Bcl-6_lex
lymphoid_progenitor_cell_lex,dispersed,RBP-Jkappa_lex,v-erbA_lex,TCRzeta_lex,combined_pituitary_hormone_deficiency_lex,SMX_lex
achievable,campomelic_dysplasia_lex,CD28_lex,SMX_lex,ML-9_lex,Pit-1_gene_lex,v-erbA_lex
cytokinestimulated,IL-2_receptor_beta-chain_lex,RAI_lex,SHP1_lex,AITL_lex,EBNA-5_lex,SHP1_lex
empirically,tyrosine_kinase_receptor_lex,chromosome_16_lex,ML-9_lex,SHP1_lex,palmar_fibromatosis_lex,ML-9_lex
Bcl-x(L)_lex,pancreatic,LMP_promoter_lex,beta-casein_lex,beta-casein_lex,differentiation-inducing_activity_lex,beta-casein_lex
SP100_lex,UT-7_Epo_cell_lex,ZEB_lex,I_kappaB_lex,A-myb_lex,Toremifene_lex,I_kappaB_lex
bipolar_disorder_lex,caspase_inhibitor_lex,respiratory_epithelium_lex,p95vav_lex,I_kappaB_lex,lymphocyte_death_lex,p95vav_lex
PB1_lex,mouse_AML1/PEBP2_alpha_B_lex,ZAP-70_lex,TCRzeta_lex,SMX_lex,DEN_lex,TCRzeta_lex
RANTES_gene_lex,TATA_element_lex,SN50_lex,EBNA-2_lex,Rap1_protein_lex,rickets-like_disease_lex,DM_lex
