	term	sem	class	bi	ni	IDF	ICF	Chi-sq	CG	ICB	DoP	RICF
0	'aged'_lymphocyte_lex	G#cell_type	cell	1	1	7.600902459542082	12.800953531280044	0.70159535792338	1.0	244.0	-0.0006729864878670666	-0.0002509284794403044
1	'converted'_TCEd_motif_lex	G#DNA_domain_or_region	nucleotide	1	1	7.600902459542082	12.800953531280044	0.7015953579233656	1.0	195.0	-0.0005378375620241904	-0.0002509284794403044
2	'latency_I'_lex	G#other_name	other	1	1	7.600902459542082	12.800953531280044	0.7015953579233771	1.0	206.0	-0.0005681771168062344	-0.0002509284794403044
3	'latency_II'_lex	G#other_name	other	1	1	7.600902459542082	12.800953531280044	0.7015953579233771	1.0	206.0	-0.0005681771168062344	-0.0002509284794403044
4	'master_regulator_lex	G#other_name	other	1	1	7.600902459542082	12.800953531280044	0.7015953579233685	1.0	63.0	-0.00017376290465431765	-0.0002509284794403044
5	'normal'_B_lymphocyte_lex	G#cell_type	cell	1	1	7.600902459542082	12.800953531280044	0.7015953579233656	1.0	194.0	-0.00053507942068165	-0.0002509284794403044
6	'octamer'_sequence_lex	G#DNA_domain_or_region	nucleotide	1	1	7.600902459542082	12.800953531280044	0.7015953579233858	1.0	227.0	-0.0006260980850232301	-0.0002509284794403044
7	'perfect'_NF-kB_binding_site_lex	G#DNA_domain_or_region	nucleotide	1	1	7.600902459542082	12.800953531280044	0.7015953579233656	1.0	195.0	-0.0005378375620241904	-0.0002509284794403044
8	'pre-activation'_lex	G#other_name	other	1	1	7.600902459542082	12.800953531280044	0.7015953579233656	1.0	194.0	-0.00053507942068165	-0.0002509284794403044
9	(+)-SKF_10,047_lex	G#other_organic_compound	amino_acid	1	1	7.600902459542082	12.800953531280044	0.7015953579233742	1.0	261.0	-0.000719874890709904	-0.0002509284794403044
10	(+)-SKF_10,_047_lex	G#other_organic_compound	amino_acid	1	1	7.600902459542082	12.800953531280044	0.7015953579233742	1.0	261.0	-0.000719874890709904	-0.0002509284794403044
11	(+)-pentazocine_lex	G#other_organic_compound	amino_acid	1	2	7.600902459542082	12.107806350720098	311.07403557203673	2.0	522.0	-0.000719874890709904	0.6928962520805051
12	(-)-SKF_10,047_lex	G#other_organic_compound	amino_acid	1	1	7.600902459542082	12.800953531280044	0.7015953579233742	1.0	261.0	-0.000719874890709904	-0.0002509284794403044
