	term	IDF	ICF	Chi-sq	CG	ICB	DoP	RICF
0	'aged'_lymphocyte_lex	7.600902459542082	12.800953531280044	0.70159535792338	1.0	244.0	-0.0006729864878670666	-0.0002509284794403044
1	'converted'_TCEd_motif_lex	7.600902459542082	12.800953531280044	0.7015953579233656	1.0	195.0	-0.0005378375620241904	-0.0002509284794403044
2	'latency_I'_lex	7.600902459542082	12.800953531280044	0.7015953579233771	1.0	206.0	-0.0005681771168062344	-0.0002509284794403044
3	'latency_II'_lex	7.600902459542082	12.800953531280044	0.7015953579233771	1.0	206.0	-0.0005681771168062344	-0.0002509284794403044
4	'master_regulator_lex	7.600902459542082	12.800953531280044	0.7015953579233685	1.0	63.0	-0.00017376290465431765	-0.0002509284794403044
5	'normal'_B_lymphocyte_lex	7.600902459542082	12.800953531280044	0.7015953579233656	1.0	194.0	-0.00053507942068165	-0.0002509284794403044
6	'octamer'_sequence_lex	7.600902459542082	12.800953531280044	0.7015953579233858	1.0	227.0	-0.0006260980850232301	-0.0002509284794403044
7	'perfect'_NF-kB_binding_site_lex	7.600902459542082	12.800953531280044	0.7015953579233656	1.0	195.0	-0.0005378375620241904	-0.0002509284794403044
8	'pre-activation'_lex	7.600902459542082	12.800953531280044	0.7015953579233656	1.0	194.0	-0.00053507942068165	-0.0002509284794403044
9	(+)-SKF_10,047_lex	7.600902459542082	12.800953531280044	0.7015953579233742	1.0	261.0	-0.000719874890709904	-0.0002509284794403044
10	(+)-SKF_10,_047_lex	7.600902459542082	12.800953531280044	0.7015953579233742	1.0	261.0	-0.000719874890709904	-0.0002509284794403044
11	(+)-pentazocine_lex	7.600902459542082	12.107806350720098	311.07403557203673	2.0	522.0	-0.000719874890709904	0.6928962520805051
12	(-)-SKF_10,047_lex	7.600902459542082	12.800953531280044	0.7015953579233742	1.0	261.0	-0.000719874890709904	-0.0002509284794403044
13	(2-Amino-3'-methoxyphenyl)oxanaphthalen-4-one_lex	7.600902459542082	12.800953531280044	0.7015953579233771	1.0	201.0	-0.0005543864100873153	-0.0002509284794403044
14	(2E)-3-[5-(2,3-Dimethoxy-6-methyl-1,4-benzoquinoyl)]-2-nonyl-2-_propenoic_acid_lex	7.600902459542082	12.800953531280044	0.7015953579233627	1.0	228.0	-0.0006288562263676578	-0.0002509284794403044
15	(3H)-E2_binding_lex	7.600902459542082	12.800953531280044	0.7015953579233742	1.0	155.0	-0.00042751190827616803	-0.0002509284794403044
16	(3H)-thymidine_lex	7.600902459542082	12.800953531280044	0.7015953579233829	1.0	145.0	-0.0003999304948391069	-0.0002509284794403044
17	(3H)_dexamethasone_lex	7.600902459542082	12.800953531280044	0.7015953579233656	1.0	194.0	-0.0005350794206804288	-0.0002509284794403044
18	(6,7-3H)_estradiol_lex	7.600902459542082	12.800953531280044	0.7015953579233742	1.0	155.0	-0.00042751190827616803	-0.0002509284794403044
19	(A/T)GATA(A/G)_lex	7.600902459542082	12.800953531280044	0.7015953579233829	1.0	237.0	-0.0006536794984601801	-0.0002509284794403044
20	(CT)19/(CA)16_lex	7.600902459542082	12.800953531280044	0.7015953579233627	1.0	193.0	-0.0005323212793366672	-0.0002509284794403044
21	(Ca2+)i_lex	7.600902459542082	12.800953531280044	0.7015953579233829	1.0	83.0	-0.00022892573152843987	-0.0002509284794403044
22	(Ca2+)i_requirement_for_lex	7.600902459542082	12.800953531280044	0.7015953579233829	1.0	83.0	-0.00022892573152843987	-0.0002509284794403044
23	(ICAM-1,_CD54)/MAC-1_lex	7.600902459542082	12.800953531280044	0.7015953579233742	1.0	182.0	-0.0005019817245571767	-0.0002509284794403044
24	(IL-2Rbeta)/IL-4Ralpha_cytokine_receptor_chimera_lex	7.600902459542082	12.800953531280044	0.70159535792338	1.0	130.0	-0.0003585583746831267	-0.0002509284794403044
25	(IRF)-1_lex	7.600902459542082	12.800953531280044	0.70159535792338	1.0	132.0	-0.00036407465737031686	-0.0002509284794403044
26	(Jak)1_lex	7.600902459542082	12.800953531280044	0.7015953579233771	1.0	219.0	-0.0006040329542741363	-0.0002509284794403044
27	(LPS)-induced_human_monocyte_TNF-alpha_production_lex	7.600902459542082	12.800953531280044	0.7015953579233712	1.0	205.0	-0.0005654189754611405	-0.0002509284794403044
28	(NF)-IL6_lex	7.600902459542082	12.800953531280044	0.7015953579233742	1.0	147.0	-0.00040544677752596403	-0.0002509284794403044
29	(NF)-kB_lex	7.600902459542082	12.800953531280044	0.7015953579233627	1.0	206.0	-0.0005681771168063454	-0.0002509284794403044
30	(NF)-kappa_B/Rel_lex	7.600902459542082	12.800953531280044	0.70159535792338	1.0	239.0	-0.0006591957811485916	-0.0002509284794403044
31	(NF)-kappa_B/Rel_nuclear_activity_lex	7.600902459542082	12.800953531280044	0.70159535792338	1.0	239.0	-0.0006591957811485916	-0.0002509284794403044
32	(NF)-kappa_B_lex	7.600902459542082	12.800953531280044	0.7015953579233656	1.0	160.0	-0.00044130261499508716	-0.0002509284794403044
33	(NF-kappa_B)/Rel_lex	7.600902459542082	12.800953531280044	0.7015953579233656	1.0	174.0	-0.00047991659380719476	-0.0002509284794403044
34	(Stat)1_lex	7.600902459542082	12.800953531280044	0.7015953579233771	1.0	219.0	-0.0006040329542741363	-0.0002509284794403044
35	(TCR)/CD3_lex	7.600902459542082	12.800953531280044	0.70159535792338	1.0	198.0	-0.0005461119860564745	-0.0002509284794403044
