,IDF,ICF,Chi-sq,CG,ICB,DoP,RICF
0,gg,c-myc_protooncogene_mRNA_expression_lex,shear,Bcl-6_lex,Bcl-6_lex,of,Bcl-6_lex
1,blood_histamine_response_lex,strong_positive_regulatory_effect_lex,X-SCID_B_cell_lex,SMX_lex,TCRzeta_lex,the,SMX_lex
2,crossreacts,wellrecognized,DG_lex,v-erbA_lex,ML-9_lex,in,v-erbA_lex
3,z,human_GASd_element_lex,Trident_lex,SHP1_lex,AITL_lex,and,ML-9_lex
4,19224,Single_C_motif-1_(SCM-1)/lymphotactin_lex,SMX-NHOH_lex,ML-9_lex,SHP1_lex,to,SHP1_lex
5,protein_inhibitor_lex,DNA_affinity-purified_protein_lex,pim-1_gene_lex,beta-casein_lex,beta-casein_lex,a,beta-casein_lex
6,NF-AT1_transcription_factor_complex_lex,restricted_protein_kinase_C_(PKC)_isoform_lex,ethanol_lex,I_kappaB_lex,A-myb_lex,that,DM_lex
7,peroxisome_proliferator-activated_receptor_alpha_(PPARalpha)_ligand_lex,inflammatory_liver_disease_lex,RelB_lex,DM_lex,I_kappaB_lex,by,I_kappaB_lex
8,dominant-negative_form_of_Stat3_lex,EBV-infected_T_cell_lex,HL60_cell_lex,TCRzeta_lex,SMX_lex,with,TCRzeta_lex
9,VDRnuc_lex,nodular_lymphocyte_predominance_Hodgkin's_disease_lex,IL_6_lex,EBNA-2_lex,Rap1_protein_lex,we,p95vav_lex
